equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
559 -0.00649928 -0.00689783
560 -0.00722197 -0.00771664
561 -0.00785988 -0.00841376
562 -0.00852631 -0.00916559
563 -0.00903591 -0.00978142
564 -0.00962419 -0.0104575
565 -0.0100737 -0.0110251
566 -0.0105122 -0.0115187
567 -0.0108407 -0.0119282
568 -0.0112384 -0.0123481
569 -0.0116684 -0.0127823
570 -0.0120333 -0.0131647
571 -0.0122141 -0.0133554
572 -0.0124097 -0.0136071
573 -0.0124702 -0.0137059
574 -0.0124292 -0.0137132
575 -0.0123544 -0.0137336
576 -0.0123368 -0.0138159
577 -0.0124445 -0.0139085
578 -0.0125197 -0.0139059
579 -0.0126258 -0.0139407
580 -0.0127709 -0.0140184
581 -0.0128411 -0.013973
582 -0.0129945 -0.014035
583 -0.013121 -0.0140876
584 -0.0132988 -0.0141647
585 -0.0135128 -0.0142537
586 -0.0135852 -0.0142186
587 -0.0134942 -0.0140364
588 -0.013374 -0.013852
589 -0.01326 -0.0136784
590 -0.013026 -0.0134126
591 -0.0127549 -0.0131272
592 -0.0124491 -0.0127893
593 -0.0121216 -0.0124277
594 -0.0117253 -0.0119899
595 -0.0112627 -0.0114783
596 -0.0108778 -0.0110292
597 -0.0104025 -0.0105285
598 -0.00975677 -0.00994444
599 -0.00908946 -0.00939665
600 -0.0083753 -0.00879084
601 -0.00769883 -0.00827778
602 -0.00719937 -0.00791723
603 -0.00672424 -0.00756959
604 -0.00630301 -0.00725542
605 -0.00607893 -0.0070626
606 -0.00585934 -0.0068391
607 -0.00554469 -0.00653188
608 -0.00532696 -0.00634787
609 -0.00511901 -0.00616981
610 -0.00500342 -0.00607478
611 -0.00499229 -0.00608972
612 -0.00503492 -0.00612833
613 -0.00529843 -0.00639133
614 -0.00547474 -0.00653846
615 -0.00565163 -0.00668182
616 -0.00589102 -0.00693854
617 -0.00611062 -0.00713907
618 -0.00626129 -0.00725231
619 -0.00631205 -0.0072599
620 -0.00628968 -0.00723424
621 -0.00630339 -0.00723365
622 -0.00627992 -0.00719998
623 -0.00642905 -0.00727984
624 -0.00662135 -0.0073732
625 -0.00666916 -0.00730452
626 -0.00664588 -0.00725084
627 -0.00678587 -0.00736166
628 -0.0069161 -0.00746193
629 -0.0069524 -0.00747974
630 -0.00707749 -0.00758942
631 -0.00728146 -0.00773979
632 -0.00740258 -0.00784051
633 -0.00753907 -0.00791063
634 -0.00762078 -0.00798
635 -0.00779012 -0.00815092
636 -0.00792253 -0.00831842
637 -0.00809336 -0.0085124
638 -0.00821093 -0.00870412
639 -0.00826137 -0.00885557
640 -0.00833441 -0.00897423
641 -0.00845355 -0.0091467
642 -0.00866432 -0.0094453
643 -0.00895875 -0.00977055
644 -0.00927425 -0.010048
645 -0.00948473 -0.0102037
646 -0.00975365 -0.0103899
647 -0.00998151 -0.0105594
648 -0.0101535 -0.0106027
649 -0.010306 -0.0106078
650 -0.0104332 -0.0105666
651 -0.0104534 -0.010408
652 -0.0105652 -0.010318
653 -0.0106304 -0.0102329
654 -0.0105427 -0.010062
655 -0.010478 -0.00982877
656 -0.0103984 -0.00955379
657 -0.0104242 -0.00939431
658 -0.0104639 -0.00916024
659 -0.0105896 -0.0090142
660 -0.0106317 -0.00885048
661 -0.0104906 -0.00854824
662 -0.0104266 -0.00830598
663 -0.0102097 -0.0078983
664 -0.0100402 -0.00755334
665 -0.00984729 -0.00724265
666 -0.00963768 -0.00696189
667 -0.00934127 -0.00662957
668 -0.00904098 -0.00628164
669 -0.00864556 -0.00583817
670 -0.00835429 -0.0054797
671 -0.00806817 -0.00512088
672 -0.00768331 -0.00470621
673 -0.00730452 -0.0043068
674 -0.00707314 -0.00401245
675 -0.00686028 -0.00372146
676 -0.00655034 -0.00335127
677 -0.00603981 -0.00281614
678 -0.00541777 -0.00218114
679 -0.00491954 -0.0016732
680 -0.00438858 -0.00118343
681 -0.00384467 -0.000675524
682 -0.00330226 -0.000194862
683 -0.00284017 0.000214358
684 -0.00240236 0.000584129
685 -0.00185234 0.00110628
686 -0.00130522 0.00161175
687 -0.000768602 0.00220056
688 -0.000162256 0.00283161
689 0.000533739 0.00346822
690 0.00104701 0.00393531
691 0.00143835 0.00433623
692 0.0018535 0.00477251
693 0.00231627 0.00524407
694 0.00267454 0.00554747
695 0.00300687 0.00581456
696 0.00342985 0.00611934
697 0.0037918 0.00641139
698 0.00407556 0.00660087
699 0.00441022 0.00679199
700 0.00474151 0.0070292
701 0.00510125 0.00728048
702 0.00546157 0.00752684
703 0.00582591 0.00779494
704 0.00607933 0.00798466
705 0.00632158 0.00818533
706 0.00648549 0.00826012
707 0.00667225 0.00839278
708 0.00691013 0.00855681
709 0.0071366 0.00873325
710 0.00724865 0.00878036
711 0.00714357 0.00859179
712 0.00716407 0.00847524
713 0.00715302 0.00832433
714 0.0071642 0.00812993
715 0.00735408 0.00810963
716 0.00740233 0.008019
717 0.00763621 0.00809205
718 0.0078293 0.00817874
719 0.00799101 0.00827453
720 0.0082112 0.00838636
721 0.00838413 0.00852145
722 0.00875639 0.00882005
723 0.00906093 0.00905151
724 0.00939502 0.00926304
725 0.00968148 0.00948283
726 0.00977863 0.00960446
727 0.0097891 0.00962923
728 0.0097781 0.00957627
729 0.00985068 0.00956004
730 0.00987377 0.00954891
731 0.00991389 0.00951581
732 0.00985129 0.00945545
733 0.00982501 0.00939959
734 0.00979709 0.00935282
735 0.00986202 0.00936389
736 0.00997322 0.0094214
737 0.010061 0.00946217
738 0.010149 0.0094926
739 0.0102754 0.00958004
740 0.0103615 0.00958666
741 0.0104182 0.00953061
742 0.0102201 0.00925218
743 0.00997812 0.00893856
744 0.0096971 0.00865718
745 0.0093895 0.00835838
746 0.00915105 0.00806965
747 0.00897875 0.00782363
748 0.00893539 0.00774149
749 0.00880066 0.00757799
750 0.00848754 0.00732524
751 0.00810752 0.00700955
752 0.00782325 0.00682549
